Date,Open,High,Low,Close,Volume
2024-08-19,224.6743715,224.943125,222.0067785,224.8435822,40687800
2024-08-20,224.7241311,226.1176396,224.4056062,225.4606934,30299000
2024-08-21,225.470666,226.9238941,224.0074744,225.3512115,34765500
2024-08-22,226.7347608,227.282216,222.8627818,223.4898682,43695300
2024-08-23,224.6146277,227.162766,223.2907872,225.7891541,38677300
2024-08-26,225.7095414,226.2271368,222.8528414,226.127594,30602200
2024-08-27,224.9530533,227.7898567,223.8481948,226.9736481,35934600
2024-08-28,226.8641488,228.7951641,224.6345202,225.4407806,38052200
2024-08-29,229.0340711,231.8409996,227.8197215,228.7254944,51906300
2024-08-30,229.1236683,229.332687,226.4262155,227.9391785,52990800
2024-09-03,227.4912448,227.9391571,220.1454278,221.7380219,50190600
2024-09-04,220.6331801,220.7526194,216.4725358,219.8269348,43840200
2024-09-05,220.6033126,224.4354685,220.4938216,221.3498383,36615400
2024-09-06,222.912548,224.1965806,218.7519192,219.7970581,48423000
2024-09-09,219.797063,220.2449754,215.7061019,219.8866425,67180000
2024-09-10,217.9058575,220.4539959,215.7260002,219.0903473,51591000
2024-09-11,220.434102,222.0565408,216.8806326,221.62854,44587100
2024-09-12,221.4692684,222.5144073,218.8016908,221.7380219,37455600
2024-09-13,222.5442829,223.0021434,220.8820208,221.4692841,36766600
2024-09-16,215.5368838,216.2137416,212.9290256,215.3179169,59357400
2024-09-17,214.7505453,215.8952119,213.5063359,215.7857208,45519300
2024-09-18,216.5422101,221.6783102,216.5322467,219.6676636,59894900
2024-09-19,223.9477379,228.7553647,223.589405,227.8097534,66781300
2024-09-20,228.9046728,232.0102147,226.5655531,227.142868,318679900
2024-09-23,226.2868634,228.3870896,224.7639522,225.4208984,54146000
2024-09-24,227.5907807,228.2875501,224.6843093,226.3167114,43556100
2024-09-25,223.8880032,226.2370711,222.9822303,225.3213348,42308700
2024-09-26,226.2470366,227.4414746,224.3657926,226.4660187,36636700
2024-09-27,227.4016814,228.4567686,226.2470513,226.7347717,34026000
2024-09-30,228.9743444,231.920639,228.5861517,231.920639,54541900
2024-10-01,228.4567582,228.5861456,222.7035351,225.1620941,63285000
2024-10-02,224.8435699,226.3167096,221.98687,225.7294464,32880600
2024-10-03,224.0970292,225.7592911,222.2854683,224.6245728,34044200
2024-10-04,226.8442543,226.9437971,223.0917296,225.7493591,37245100
2024-10-07,223.4600206,224.6445105,220.3047072,220.6630402,39505400
2024-10-08,223.2609448,224.933155,222.2158059,224.7241364,31855700
2024-10-09,224.1866374,228.6857032,223.7884965,228.4766693,33591100
2024-10-10,226.7248309,228.4368644,226.1176561,227.9789886,28183500
2024-10-11,228.2377733,228.3472643,226.2868463,226.4958801,31759200
2024-10-14,227.6405539,230.6565164,227.5410263,230.2285156,39882100
2024-10-15,232.5277995,236.3898302,231.2935383,232.7666931,64751400
2024-10-16,230.5271247,231.0447049,228.7752681,230.7062836,34082200
2024-10-17,232.3486389,232.7667067,229.4521309,231.0745697,32993800
2024-10-18,235.0858881,235.0858881,232.9259424,233.9113617,46431500
2024-10-21,233.3639265,235.7528178,233.3639265,235.3845215,36254500
2024-10-22,232.8065197,235.125728,231.5225022,234.767395,38846600
2024-10-23,232.9956371,234.0507242,226.7049069,229.6910095,52287000
2024-10-24,228.9146137,229.750734,227.3518946,229.5018921,31109500
2024-10-25,228.6757355,232.1396102,228.5065249,230.3379974,38802300
2024-10-28,232.2391706,233.6426273,231.4727333,232.3187866,36087100
2024-10-29,232.0201881,233.2444859,231.2438026,232.5875397,35417200
2024-10-30,231.5324399,232.3884566,228.4866177,229.0340729,47070900
2024-10-31,228.2775829,228.7653185,224.3259726,224.8634796,64370100
2024-11-01,219.9463498,224.3060642,219.2495956,221.8773651,65276700
2024-11-04,219.9662729,221.7579223,218.6922037,220.9815369,44944500
2024-11-05,220.7725209,222.912555,220.1155747,222.4148712,28111300
2024-11-06,221.5787566,225.0227348,220.1653366,221.6882477,54561100
2024-11-07,223.589405,226.8243493,223.5296854,226.4261932,42137700
2024-11-08,226.3664142,227.851149,225.609108,226.1571655,38328800
2024-11-11,224.2040938,224.9016147,220.7164746,223.4368134,42005600
2024-11-12,223.7556887,224.7920032,222.5698957,223.4368134,40398300
2024-11-13,223.2175801,225.8482407,221.9720018,224.3236542,48566200
2024-11-14,224.2240271,228.0603991,224.2040936,227.4127045,44923900
2024-11-15,225.5991279,226.1172927,223.4766729,224.2040863,47923700
2024-11-18,224.4531887,228.927311,224.3734698,227.2133942,44633700
2024-11-19,226.1770839,229.345843,225.8582238,227.4724884,36211800
2024-11-20,227.2532641,229.1166444,225.090942,228.1899414,35169600
2024-11-21,228.0703666,229.3458375,224.9115819,227.7116394,42108300
2024-11-22,227.2532594,229.9038535,227.2532594,229.0568542,38168300
2024-11-25,230.6412486,232.4249101,228.9273317,232.0462494,90152800
2024-11-26,232.5046243,234.736706,232.5046243,234.2285004,45986200
2024-11-27,233.640589,234.8562746,232.98292,234.0989532,33498400
2024-11-29,233.9793733,236.968761,233.1423484,236.4904633,28481400
2024-12-02,236.430692,239.9382295,236.3210805,238.7424774,48137100
2024-12-03,238.9617062,241.901268,238.0549215,241.7916565,38861000
2024-12-04,242.0108865,243.2465057,240.3966218,242.1503906,44383900
2024-12-05,243.126919,243.6749613,241.2734979,242.1802673,40033900
2024-12-06,242.050732,243.7646488,241.2236662,241.9809723,36870600
2024-12-09,240.9745572,246.3654236,240.8948384,245.8771515,44649200
